game_index,move_count,status,v10_line_no,v10_engine,v10_mode,v10_value,v10_direct,v10_policy_safety,v10_mcts_raw,v10_mcts_safety,v10_final,v11_line_no,v11_engine,v11_mode,v11_value,v11_direct,v11_policy_safety,v11_mcts_raw,v11_mcts_safety,v11_final,value_delta_right_minus_left,value_diff,direct_diff,policy_safety_diff,mcts_raw_diff,mcts_safety_diff,final_diff
1,0,both,73,neural_v10_debug,,0.316558,"7,7","7,7","7,7","7,7","7,7",73,neural_v11_debug,,0.329640,"7,7","7,7","7,7","7,7","7,7",0.013082,True,False,False,False,False,False
1,2,both,110,neural_v10_debug,,0.236757,"4,6","4,6","4,3","4,3","4,3",110,neural_v11_debug,,0.259312,"4,6","4,6","4,3","4,3","4,3",0.022555,True,False,False,False,False,False
1,4,both,147,neural_v10_debug,,0.121771,"2,6","2,6","2,6","2,6","2,6",147,neural_v11_debug,,0.146296,"2,6","2,6","2,6","2,6","2,6",0.024525,True,False,False,False,False,False
1,6,both,184,neural_v10_debug,,0.178671,"3,3","3,3","3,3","3,3","3,3",184,neural_v11_debug,,0.200152,"3,3","3,3","3,3","3,3","3,3",0.021481,True,False,False,False,False,False
1,8,both,221,neural_v10_debug,,0.028198,"4,6","5,4","5,4","5,4","5,4",221,neural_v11_debug,,0.055561,"4,6","5,4","5,4","5,4","5,4",0.027363,True,False,False,False,False,False
1,10,both,258,neural_v10_debug,,-0.077470,"5,7","5,7","5,7","5,7","5,7",258,neural_v11_debug,,-0.068301,"5,7","5,7","5,7","5,7","5,7",0.009169,True,False,False,False,False,False
1,12,both,295,neural_v10_debug,,0.092144,"3,7","3,7","3,7","3,7","3,7",295,neural_v11_debug,,0.111778,"3,7","3,7","3,7","3,7","3,7",0.019634,True,False,False,False,False,False
1,14,both,332,neural_v10_debug,,0.020565,"4,7","6,5","6,7","2,5","2,5",332,neural_v11_debug,,0.013337,"4,7","6,5","6,7","2,5","2,5",-0.007228,True,False,False,False,False,False
1,16,both,369,neural_v10_debug,,-0.006539,"4,7","5,6","4,7","5,6","5,6",369,neural_v11_debug,,-0.013975,"4,7","5,6","4,7","5,6","5,6",-0.007436,True,False,False,False,False,False
1,18,both,406,neural_v10_debug,,0.369405,"8,5","8,5","5,8","5,8","5,8",406,neural_v11_debug,,0.397588,"8,5","8,5","5,8","5,8","5,8",0.028183,True,False,False,False,False,False
1,20,both,443,neural_v10_debug,,0.250961,"8,5","8,5","8,5","8,5","8,5",443,neural_v11_debug,,0.278400,"8,5","8,5","8,5","8,5","8,5",0.027439,True,False,False,False,False,False
1,22,both,480,neural_v10_debug,,0.085241,"4,7","4,7","4,7","4,7","4,7",480,neural_v11_debug,,0.101596,"4,7","4,7","4,7","4,7","4,7",0.016355,True,False,False,False,False,False
1,24,both,517,neural_v10_debug,,-0.155007,"7,9","7,5","7,5","7,5","7,5",517,neural_v11_debug,,-0.144914,"7,9","7,5","7,5","7,5","7,5",0.010093,True,False,False,False,False,False
1,26,both,554,neural_v10_debug,,-0.232676,"7,9","7,9","7,9","7,9","7,9",554,neural_v11_debug,,-0.234261,"7,9","7,9","7,9","7,9","7,9",-0.001585,True,False,False,False,False,False
1,28,both,591,neural_v10_debug,,-0.235493,"6,6","6,6","6,6","6,6","6,6",591,neural_v11_debug,,-0.235486,"6,6","6,6","6,6","6,6","6,6",0.000007,True,False,False,False,False,False
1,30,both,628,neural_v10_debug,,-0.204600,"3,9","3,9","3,9","3,9","3,9",628,neural_v11_debug,,-0.221312,"3,9","3,9","3,9","3,9","3,9",-0.016712,True,False,False,False,False,False
1,32,both,665,neural_v10_debug,,-0.106951,"8,6","0,4","0,4","0,4","0,4",665,neural_v11_debug,,-0.100792,"8,6","0,4","0,4","0,4","0,4",0.006159,True,False,False,False,False,False
1,34,both,702,neural_v10_debug,,-0.017925,"6,8","6,8","6,8","6,8","6,8",702,neural_v11_debug,,-0.020016,"6,8","6,8","6,8","6,8","6,8",-0.002091,True,False,False,False,False,False
1,36,both,739,neural_v10_debug,,0.307580,"7,10","7,10","7,10","7,10","7,10",739,neural_v11_debug,,0.340370,"7,10","7,10","7,10","7,10","7,10",0.032790,True,False,False,False,False,False
1,38,both,776,neural_v10_debug,,0.203786,"8,6","3,8","8,6","3,8","3,8",776,neural_v11_debug,,0.210098,"7,11","3,8","8,6","3,8","3,8",0.006312,True,True,False,False,False,False
1,40,both,813,neural_v10_debug,,0.095018,"7,8","8,12","8,12","8,12","8,12",813,neural_v11_debug,,0.091948,"7,8","8,12","8,12","8,12","8,12",-0.003070,True,False,False,False,False,False
1,42,both,850,neural_v10_debug,,0.120528,"7,8","7,8","7,8","7,8","7,8",850,neural_v11_debug,,0.115401,"7,8","7,8","7,8","7,8","7,8",-0.005127,True,False,False,False,False,False
1,44,both,887,neural_v10_debug,,0.086018,"10,7","2,10","2,10","2,10","2,10",887,neural_v11_debug,,0.059948,"10,7","2,10","2,10","2,10","2,10",-0.026070,True,False,False,False,False,False
1,46,both,924,neural_v10_debug,,0.062376,"2,9","4,12","4,12","4,12","4,12",924,neural_v11_debug,,0.037243,"2,9","4,12","4,12","4,12","4,12",-0.025133,True,False,False,False,False,False
1,48,both,961,neural_v10_debug,,0.031199,"10,7","8,11","10,7","8,11","8,11",961,neural_v11_debug,,0.018474,"10,7","8,11","10,7","8,11","8,11",-0.012725,True,False,False,False,False,False
2,1,both,1033,neural_v10_debug,,-0.851963,"7,6","7,6","7,6","7,6","7,6",1033,neural_v11_debug,,-0.859727,"7,6","7,6","7,6","7,6","7,6",-0.007764,True,False,False,False,False,False
2,3,both,1070,neural_v10_debug,,-0.400769,"5,9","5,9","5,9","5,9","5,9",1070,neural_v11_debug,,-0.443011,"5,9","5,9","5,9","5,9","5,9",-0.042242,True,False,False,False,False,False
2,5,both,1107,neural_v10_debug,,-0.743965,"6,6","6,6","6,6","6,6","6,6",1107,neural_v11_debug,,-0.761639,"6,6","6,6","6,6","6,6","6,6",-0.017674,True,False,False,False,False,False
2,7,both,1144,neural_v10_debug,,-0.739195,"8,7","8,7","8,7","8,7","8,7",1144,neural_v11_debug,,-0.747452,"8,7","8,7","8,7","8,7","8,7",-0.008257,True,False,False,False,False,False
2,9,both,1181,neural_v10_debug,,-0.737283,"3,5","3,5","3,5","3,5","3,5",1181,neural_v11_debug,,-0.762663,"3,5","3,5","3,5","3,5","3,5",-0.025380,True,False,False,False,False,False
2,11,both,1218,neural_v10_debug,,-0.863889,"5,6","5,6","5,6","5,6","5,6",1218,neural_v11_debug,,-0.878438,"5,6","5,6","5,6","5,6","5,6",-0.014549,True,False,False,False,False,False
2,13,both,1255,neural_v10_debug,,-0.668221,"8,9","8,8","8,8","8,8","8,8",1255,neural_v11_debug,,-0.681954,"8,8","8,8","8,8","8,8","8,8",-0.013733,True,True,False,False,False,False
2,15,both,1292,neural_v10_debug,,-0.029580,"7,10","7,10","7,10","7,10","7,10",1292,neural_v11_debug,,-0.093313,"7,10","7,10","7,10","7,10","7,10",-0.063733,True,False,False,False,False,False
2,17,both,1329,neural_v10_debug,,-0.381166,"9,5","9,5","9,5","9,5","9,5",1329,neural_v11_debug,,-0.441464,"9,5","9,5","9,5","9,5","9,5",-0.060298,True,False,False,False,False,False
2,19,both,1366,neural_v10_debug,,-0.560621,"9,9","10,11","10,11","10,11","10,11",1366,neural_v11_debug,,-0.587152,"9,9","10,11","10,11","10,11","10,11",-0.026531,True,False,False,False,False,False
2,21,both,1403,neural_v10_debug,,-0.323875,"9,9","8,10","8,10","8,10","8,10",1403,neural_v11_debug,,-0.375625,"9,9","8,10","8,10","8,10","8,10",-0.051750,True,False,False,False,False,False
2,23,both,1440,neural_v10_debug,,-0.380224,"9,9","3,7","3,7","3,7","3,7",1440,neural_v11_debug,,-0.444260,"6,5","3,7","3,7","3,7","3,7",-0.064036,True,True,False,False,False,False
2,25,both,1477,neural_v10_debug,,-0.370189,"5,8","4,5","5,8","4,5","4,5",1477,neural_v11_debug,,-0.440633,"5,8","4,5","5,8","4,5","4,5",-0.070444,True,False,False,False,False,False
2,27,both,1514,neural_v10_debug,,-0.505581,"5,8","5,8","5,8","5,8","5,8",1514,neural_v11_debug,,-0.578626,"5,8","5,8","5,8","5,8","5,8",-0.073045,True,False,False,False,False,False
2,29,both,1551,neural_v10_debug,,-0.734654,"3,4","4,9","4,9","4,9","4,9",1551,neural_v11_debug,,-0.759072,"3,4","4,9","4,9","4,9","4,9",-0.024418,True,False,False,False,False,False
2,31,both,1588,neural_v10_debug,,-0.703319,"3,4","10,9","3,4","10,9","10,9",1588,neural_v11_debug,,-0.745447,"3,4","10,9","3,4","10,9","10,9",-0.042128,True,False,False,False,False,False
2,33,both,1625,neural_v10_debug,,-0.706584,"10,8","9,6","10,8","9,6","9,6",1625,neural_v11_debug,,-0.741298,"10,8","9,6","10,8","9,6","9,6",-0.034714,True,False,False,False,False,False
